timestamp_ms,datetime_utc,open,high,low,close,volume
1746230400000,2025-05-03 00:00:00,96933.59,96962.8,95798.92,95882.19,108.8014874
1746316800000,2025-05-04 00:00:00,95882.19,96302.12,94161.24,94327.17,164.78861764
1746403200000,2025-05-05 00:00:00,94327.17,95207,93502.55,94726.73,448.16456986
1746489600000,2025-05-06 00:00:00,94726.73,96894.12,93324,96831.02,649.4104859
1746576000000,2025-05-07 00:00:00,96831.02,97705.29,95798.92,97082.09,482.8822797
1746662400000,2025-05-08 00:00:00,97082.09,104191.1,96886.39,103264.59,937.23699471
1746748800000,2025-05-09 00:00:00,103264.59,104335,102332.09,102971.79,512.15050722
1746835200000,2025-05-10 00:00:00,102971.79,104986.37,102833.83,104787.95,211.70543539
1746921600000,2025-05-11 00:00:00,104787.95,105000,103354.2,104113.35,204.37988928
1747008000000,2025-05-12 00:00:00,104113.35,105771,100712.78,102805.49,717.82871115
1747094400000,2025-05-13 00:00:00,102805.49,105079.36,101437.45,104141.97,637.91167746
1747180800000,2025-05-14 00:00:00,104141.97,104383.51,102609.38,103539.22,349.05353641
1747267200000,2025-05-15 00:00:00,103539.22,104209.21,101400,103795.1,421.64046568
1747353600000,2025-05-16 00:00:00,103795.1,104622.06,103126.74,103518.79,349.70292768
1747440000000,2025-05-17 00:00:00,103518.79,103727.98,102641.25,103146.12,206.6335058
1747526400000,2025-05-18 00:00:00,103146.12,106666,103127,106496.4,330.90715443
1747612800000,2025-05-19 00:00:00,106496.4,107115.26,102096.86,105621.36,568.5684505
1747699200000,2025-05-20 00:00:00,105621.36,107348.11,104195.93,106887.51,565.84788524
1747785600000,2025-05-21 00:00:00,106887.51,110000,106122.84,109546.94,1157.21401388
1747872000000,2025-05-22 00:00:00,109546.94,112006.21,109174,111718.08,892.72983014
1747958400000,2025-05-23 00:00:00,111718.08,111794,106799.33,107317.88,828.00369402
1748044800000,2025-05-24 00:00:00,107317.88,109500,106929.69,107780.71,223.87721838
1748131200000,2025-05-25 00:00:00,107780.71,109382.53,106633.69,109028.9,222.63778177
1748217600000,2025-05-26 00:00:00,109028.9,110480.37,108729.46,109474.08,201.08563488
1748304000000,2025-05-27 00:00:00,109474.08,110823.08,107546.01,108970.22,711.87627531
1748390400000,2025-05-28 00:00:00,108970.22,109332.99,106786.54,107829.9,579.73178165
1748476800000,2025-05-29 00:00:00,107829.9,108944.96,105310.54,105570.64,830.29316828
1748563200000,2025-05-30 00:00:00,105570.64,106338.45,103662.25,104032.32,680.97272413
1748649600000,2025-05-31 00:00:00,104032.32,104950,103090.29,104640.01,295.30820293
1748736000000,2025-06-01 00:00:00,104640.01,105909,103812.69,105684.05,230.73791876
1748822400000,2025-06-02 00:00:00,105684.05,106024,103696.59,105890.01,445.82642426
1748908800000,2025-06-03 00:00:00,105890.01,106888,104933.72,105448.5,432.85423792
1748995200000,2025-06-04 00:00:00,105448.5,106043.72,104203.73,104737.96,418.16914337
1749081600000,2025-06-05 00:00:00,104737.96,105973.43,100400.22,101551.24,869.09770471
1749168000000,2025-06-06 00:00:00,101551.24,105434.16,101166.32,104366.05,608.58831638
1749254400000,2025-06-07 00:00:00,104366.05,105956,103964.8,105607.14,79.12016094
1749340800000,2025-06-08 00:00:00,105607.14,106500,105021.59,105794.14,114.49953981
1749427200000,2025-06-09 00:00:00,105794.14,110524.63,105365.78,110320.27,513.80517149
1749513600000,2025-06-10 00:00:00,110320.27,110398.98,108351.46,110292,460.51154477
1749600000000,2025-06-11 00:00:00,110292,110400,108088.22,108666.73,513.62915046
1749686400000,2025-06-12 00:00:00,108666.73,108836.07,105586,105697.61,554.48170081
1749772800000,2025-06-13 00:00:00,105697.61,106222,102792.3,106102.81,617.45860225
1749859200000,2025-06-14 00:00:00,106102.81,106265.11,104354.18,105453.05,175.96848908
1749945600000,2025-06-15 00:00:00,105453.05,106169.43,104513,105598.71,135.18391375
1750032000000,2025-06-16 00:00:00,105598.71,108995.77,104985.95,106868.33,578.72220821
1750118400000,2025-06-17 00:00:00,106868.33,107844.2,103344.05,104581.47,535.72417161
1750204800000,2025-06-18 00:00:00,104581.47,105571.66,103507.54,104898.45,415.82884803
1750291200000,2025-06-19 00:00:00,104898.45,105232.92,103906.17,104670.82,174.40287611
1750377600000,2025-06-20 00:00:00,104670.82,106532.36,102361.92,103281.57,395.94081455
1750464000000,2025-06-21 00:00:00,103281.57,104018.27,100920.73,102129.33,301.27162296
1750550400000,2025-06-22 00:00:00,102129.33,103417.2,98247.01,100995.52,645.7596979
1750636800000,2025-06-23 00:00:00,100995.52,106123.5,99661.76,105399.53,637.74825036
1750723200000,2025-06-24 00:00:00,105399.53,106350.49,104700,106125,481.59621864
1750809600000,2025-06-25 00:00:00,106125,108205.19,105873.64,107412.19,454.75574028
1750896000000,2025-06-26 00:00:00,107412.19,108337.43,106615.15,107004.81,424.75661714
1750982400000,2025-06-27 00:00:00,107004.81,107819.88,106416.06,107102.3,437.88908885
1751068800000,2025-06-28 00:00:00,107102.3,107613.59,106856.99,107335.1,128.3050562
1751155200000,2025-06-29 00:00:00,107335.1,108544.64,107227.31,108398.57,191.77457427
1751241600000,2025-06-30 00:00:00,108398.57,108833.07,106723.31,107173.53,489.3043567
1751328000000,2025-07-01 00:00:00,107173.53,107587.72,105265,105720.49,671.14848463
1751414400000,2025-07-02 00:00:00,105720.49,109821.34,105117.45,108876.41,563.79206533
