timestamp_ms,datetime_utc,open,high,low,close,volume
1773248520000,2026-03-11 17:02:00,70630.12,70737.94,70607.3,70737.94,0.20111046
1773248580000,2026-03-11 17:03:00,70737.94,70924.59,70737.94,70924.59,0.06336422
1773248640000,2026-03-11 17:04:00,70924.59,70952.72,70906.33,70912.46,0.35268791
1773248700000,2026-03-11 17:05:00,70912.46,70962.97,70866.86,70954.36,0.06648033
1773248760000,2026-03-11 17:06:00,70954.36,70954.36,70954.36,70954.36,0
1773248820000,2026-03-11 17:07:00,70954.36,70967.4,70904.49,70904.49,0.16173944
1773248880000,2026-03-11 17:08:00,70904.49,70904.49,70871.11,70871.11,0.00150067
1773248940000,2026-03-11 17:09:00,70871.11,70916.39,70859.02,70904.88,0.04741085
1773249000000,2026-03-11 17:10:00,70904.88,70922.09,70887.65,70922.09,0.27179247
1773249060000,2026-03-11 17:11:00,70922.09,70962.78,70916.82,70962.78,0.05408242
1773249120000,2026-03-11 17:12:00,70962.78,70970.3,70875.49,70894.85,0.1859329
1773249180000,2026-03-11 17:13:00,70894.85,71029.1,70894.85,71029.1,0.52267333
1773249240000,2026-03-11 17:14:00,71029.1,71029.1,70851.8,70877.01,0.16152308
1773249300000,2026-03-11 17:15:00,70877.01,70982.03,70877.01,70982.03,0.0304836
1773249360000,2026-03-11 17:16:00,70982.03,70992.66,70978.43,70992.66,0.00395
1773249420000,2026-03-11 17:17:00,70992.66,71007.8,70990.41,71003.83,0.23347469
1773249480000,2026-03-11 17:18:00,71003.83,71008,70948.75,70966.73,0.49625497
1773249540000,2026-03-11 17:19:00,70966.73,71013.41,70941.57,71013.41,0.00592766
1773249600000,2026-03-11 17:20:00,71013.41,71041.55,70989.4,70989.4,0.10285324
1773249660000,2026-03-11 17:21:00,70989.4,70989.4,70953.15,70984.39,0.01388659
1773249720000,2026-03-11 17:22:00,70984.39,71026.06,70979.91,70991.62,0.23905054
1773249780000,2026-03-11 17:23:00,70991.62,71040.61,70991.62,71025.46,0.01655311
1773249840000,2026-03-11 17:24:00,71025.46,71201.7,71025.46,71201.7,0.51106925
1773249900000,2026-03-11 17:25:00,71201.7,71295.9,71200.54,71273.95,0.73430498
1773249960000,2026-03-11 17:26:00,71273.95,71328.28,71248.9,71267.52,3.4139442
1773250020000,2026-03-11 17:27:00,71267.52,71346.86,71267.52,71327.33,0.11595476
1773250080000,2026-03-11 17:28:00,71327.33,71327.33,71236.17,71236.17,0.11480056
1773250140000,2026-03-11 17:29:00,71236.17,71279.89,71236.17,71270.25,0.00585266
1773250200000,2026-03-11 17:30:00,71270.25,71352.18,71269.43,71351.42,0.02236664
1773250260000,2026-03-11 17:31:00,71351.42,71351.42,71173.9,71233.35,0.13806276
1773250320000,2026-03-11 17:32:00,71233.35,71263.47,71145.74,71145.74,0.0917709
1773250380000,2026-03-11 17:33:00,71145.74,71149.65,71045.61,71045.61,0.59578708
1773250440000,2026-03-11 17:34:00,71045.61,71045.61,71000.01,71000.01,0.28192531
1773250500000,2026-03-11 17:35:00,71000.01,71076.69,71000.01,71018.3,0.28243539
1773250560000,2026-03-11 17:36:00,71018.3,71018.3,70803.88,70803.88,0.37136276
1773250620000,2026-03-11 17:37:00,70803.88,70803.88,70581.34,70581.34,0.74510122
1773250680000,2026-03-11 17:38:00,70581.34,70635.25,70523.02,70601.34,0.50427131
1773250740000,2026-03-11 17:39:00,70601.34,70732.72,70601.34,70662.43,0.10587511
1773250800000,2026-03-11 17:40:00,70662.43,70844.31,70662.43,70844.31,0.47392873
1773250860000,2026-03-11 17:41:00,70844.31,70854.89,70746.56,70854.89,0.18914102
1773250920000,2026-03-11 17:42:00,70854.89,70854.89,70709.56,70732,1.32479869
1773250980000,2026-03-11 17:43:00,70732,70750.82,70674.17,70750.82,0.20454026
1773251040000,2026-03-11 17:44:00,70750.82,70806.25,70737.31,70806.25,0.43363512
1773251100000,2026-03-11 17:45:00,70806.25,70869.6,70806.25,70869.6,0.67533061
1773251160000,2026-03-11 17:46:00,70869.6,70936,70855.87,70936,0.56165569
1773251220000,2026-03-11 17:47:00,70936,70936,70822.5,70841.63,1.47565242
1773251280000,2026-03-11 17:48:00,70841.63,70928.74,70841.63,70891.71,1.19197425
1773251340000,2026-03-11 17:49:00,70891.71,70891.71,70891.71,70891.71,0
1773251400000,2026-03-11 17:50:00,70891.71,70943.37,70872.37,70943.37,0.32090954
1773251460000,2026-03-11 17:51:00,70943.37,70947.36,70890.98,70947.36,0.19636483
1773251520000,2026-03-11 17:52:00,70947.36,70965.95,70947.36,70949.99,0.23245759
1773251580000,2026-03-11 17:53:00,70949.99,70949.99,70792.88,70854.7,0.39781518
1773251640000,2026-03-11 17:54:00,70854.7,70854.7,70774.71,70774.71,0.01703726
1773251700000,2026-03-11 17:55:00,70774.71,70774.71,70662.98,70677.46,0.89685373
1773251760000,2026-03-11 17:56:00,70677.46,70754.1,70677.46,70744.82,0.40231
1773251820000,2026-03-11 17:57:00,70744.82,70779.22,70708.02,70779.22,0.18774513
1773251880000,2026-03-11 17:58:00,70779.22,70779.22,70748,70748,0.32983
1773251940000,2026-03-11 17:59:00,70748,70847.49,70748,70817.81,0.04383927
1773252000000,2026-03-11 18:00:00,70817.81,70889.19,70817.81,70853.67,0.73473957
1773252060000,2026-03-11 18:01:00,70853.67,70871.94,70802.01,70802.77,0.0754901
1773252120000,2026-03-11 18:02:00,70802.77,70821.82,70802.77,70821.82,0.017
1773252180000,2026-03-11 18:03:00,70821.82,70871.93,70821.82,70871.93,0.07617343
1773252240000,2026-03-11 18:04:00,70871.93,70885.06,70857.45,70857.45,0.02845
1773252300000,2026-03-11 18:05:00,70857.45,70890.09,70854.34,70890.09,0.04966015
1773252360000,2026-03-11 18:06:00,70890.09,70890.09,70855.42,70863.18,0.0866133
1773252420000,2026-03-11 18:07:00,70863.18,70881.27,70804.44,70881.27,0.13977555
1773252480000,2026-03-11 18:08:00,70881.27,70881.27,70776.85,70779.98,0.02090854
1773252540000,2026-03-11 18:09:00,70779.98,70779.98,70750.67,70750.67,0.02094421
1773252600000,2026-03-11 18:10:00,70750.67,70785.78,70750.67,70764.64,0.01080143
1773252660000,2026-03-11 18:11:00,70764.64,70764.64,70708.01,70708.01,0.01046432
1773252720000,2026-03-11 18:12:00,70708.01,70740.61,70708.01,70740.61,0.05840938
1773252780000,2026-03-11 18:13:00,70740.61,70786.09,70725.9,70786.09,0.38358632
1773252840000,2026-03-11 18:14:00,70786.09,70786.09,70766.62,70766.62,0.00087818
1773252900000,2026-03-11 18:15:00,70766.62,70783.62,70766.62,70783.62,0.1248
1773252960000,2026-03-11 18:16:00,70783.62,70788.85,70783.62,70786.44,0.07104618
1773253020000,2026-03-11 18:17:00,70786.44,70786.44,70715.37,70715.37,0.01841489
1773253080000,2026-03-11 18:18:00,70715.37,70746.48,70670.17,70746.48,0.12665081
1773253140000,2026-03-11 18:19:00,70746.48,70746.48,70668.23,70699.07,0.09044109
1773253200000,2026-03-11 18:20:00,70699.07,70848.01,70699.07,70840.39,0.03119202
1773253260000,2026-03-11 18:21:00,70840.39,70928.76,70807.73,70903.06,0.16250223
1773253320000,2026-03-11 18:22:00,70903.06,70903.06,70772.49,70772.49,0.0790822
1773253380000,2026-03-11 18:23:00,70772.49,70783.17,70749.2,70781.09,0.12133544
1773253440000,2026-03-11 18:24:00,70781.09,70804.92,70742.96,70793.48,0.04822113
1773253500000,2026-03-11 18:25:00,70793.48,70847.84,70793.48,70847.84,0.07682128
1773253560000,2026-03-11 18:26:00,70847.84,70863.06,70841.55,70851.36,0.01936384
1773253620000,2026-03-11 18:27:00,70851.36,70870.28,70697.77,70720.38,2.87713012
1773253680000,2026-03-11 18:28:00,70720.38,70824.63,70720.38,70744.47,2.55084177
1773253740000,2026-03-11 18:29:00,70744.47,70744.47,70649.08,70741.97,0.10695811
1773253800000,2026-03-11 18:30:00,70741.97,70761.12,70690.32,70730.2,0.00875498
1773253860000,2026-03-11 18:31:00,70730.2,70764.01,70729.93,70764.01,0.01283796
1773253920000,2026-03-11 18:32:00,70764.01,70773.11,70687.54,70688.41,0.12038907
1773253980000,2026-03-11 18:33:00,70688.41,70737.82,70678.04,70678.04,0.01390763
1773254040000,2026-03-11 18:34:00,70678.04,70762.74,70678.04,70749.04,0.02814377
1773254100000,2026-03-11 18:35:00,70749.04,70760.76,70698,70714.08,0.52081141
1773254160000,2026-03-11 18:36:00,70714.08,70714.08,70677.97,70702.26,0.05971396
1773254220000,2026-03-11 18:37:00,70702.26,70710.79,70676.89,70710.79,0.02047957
1773254280000,2026-03-11 18:38:00,70710.79,70735.93,70699.08,70699.08,0.05102882
1773254340000,2026-03-11 18:39:00,70699.08,70699.08,70500,70500,0.21902063
1773254400000,2026-03-11 18:40:00,70500,70570,70500,70570,0.04692781
