instrument,event_ticker,settlement_index,status,side,outcome_field,quantity,entry_price,entry_model_price,edge_at_entry,spot_at_entry,bid_at_entry,ask_at_entry,bid_size_at_entry,ask_size_at_entry,entry_time,expiry_time,settlement_time,settlement_outcome,entry_notional_usd,max_loss_usd,gross_pnl_per_contract,gross_total_pnl,fees_per_contract,fees_total,net_total_pnl,order_id,params_path
GEMI-BTC2603161600-HI74000,BTC2603161600,GRR-KAIKO_BTCUSD_1S,settled,buy,yes,250,0.2,0.2316741877427288,0.03167418774272879,73533.26,0.14,0.2,58.0,5.0,2026-03-16T15:04:29Z,2026-03-16T16:00:00Z,2026-03-16T16:03:14Z,0,50.0,50.0,-0.2,-50.0,0.02,5.0,-55.0,paper-GEMI-BTC2603161600-HI74000-1773673469,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603161600-HI73500,BTC2603161600,GRR-KAIKO_BTCUSD_1S,settled,buy,yes,119,0.42,0.4655730323526093,0.04557303235260929,73450.09,0.37,0.42,57.0,62.0,2026-03-16T15:05:40Z,2026-03-16T16:00:00Z,2026-03-16T16:02:50Z,0,49.98,49.98,-0.42,-49.98,0.02,2.38,-52.36,paper-GEMI-BTC2603161600-HI73500-1773673540,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603161600-HI73000,BTC2603161600,GRR-KAIKO_BTCUSD_1S,settled,sell,yes,333,0.85,0.795166314425135,0.05483368557486501,73520.55,0.85,0.95,235.0,4000.0,2026-03-16T15:09:23Z,2026-03-16T16:00:00Z,2026-03-16T16:03:21Z,1,283.05,49.95,-0.15,-49.95,0.02,6.66,-56.61,paper-GEMI-BTC2603161600-HI73000-1773673763,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603161600-HI73250,BTC2603161600,GRR-KAIKO_BTCUSD_1S,settled,sell,yes,172,0.71,0.6602222512219333,0.04977774877806662,73520.55,0.71,0.76,281.0,51.0,2026-03-16T15:09:23Z,2026-03-16T16:00:00Z,2026-03-16T16:03:07Z,1,122.12,49.88,-0.29,-49.88,0.02,3.44,-53.32,paper-GEMI-BTC2603161600-HI73250-1773673763,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603161600-HI74250,BTC2603161600,GRR-KAIKO_BTCUSD_1S,settled,buy,yes,357,0.14,0.20677836821849763,0.06677836821849761,73763.67,0.03,0.14,6666.0,232.0,2026-03-16T15:14:34Z,2026-03-16T16:00:00Z,2026-03-16T16:02:09Z,0,49.98,49.98,-0.14,-49.98,0.02,7.14,-57.12,paper-GEMI-BTC2603161600-HI74250-1773674074,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603161700-HI73500,BTC2603161700,GRR-KAIKO_BTCUSD_1S,settled,buy,yes,185,0.27,0.3258482399766037,0.05584823997660371,73203.58,0.19,0.27,60.0,60.0,2026-03-16T16:02:59Z,2026-03-16T17:00:00Z,2026-03-16T17:02:34Z,1,49.95,49.95,0.73,135.05,0.02,3.7,131.35,paper-GEMI-BTC2603161700-HI73500-1773676979,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603161700-HI73000,BTC2603161700,GRR-KAIKO_BTCUSD_1S,settled,sell,yes,192,0.74,0.7047554969183054,0.03524450308169458,73263.93,0.74,0.81,60.0,70.0,2026-03-16T16:03:56Z,2026-03-16T17:00:00Z,2026-03-16T17:02:27Z,1,142.08,49.92,-0.26,-49.92,0.02,3.84,-53.76,paper-GEMI-BTC2603161700-HI73000-1773677036,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603161700-HI73750,BTC2603161700,GRR-KAIKO_BTCUSD_1S,settled,buy,yes,294,0.17,0.22033262312342863,0.05033262312342862,73313.2,0.1,0.17,58.0,58.0,2026-03-16T16:04:23Z,2026-03-16T17:00:00Z,2026-03-16T17:02:34Z,1,49.98,49.98,0.83,244.02,0.02,5.88,238.14,paper-GEMI-BTC2603161700-HI73750-1773677063,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603161700-HI73250,BTC2603161700,GRR-KAIKO_BTCUSD_1S,settled,sell,yes,138,0.64,0.5880857978220867,0.051914202177913316,73378.39,0.64,0.69,312.0,54.0,2026-03-16T16:07:35Z,2026-03-16T17:00:00Z,2026-03-16T17:03:00Z,1,88.32,49.68,-0.36,-49.68,0.02,2.76,-52.44,paper-GEMI-BTC2603161700-HI73250-1773677255,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603161800-HI73500,BTC2603161800,GRR-KAIKO_BTCUSD_1S,open,sell,yes,238,0.79,0.7550935235737395,0.034906476426260546,73896.7,0.79,0.88,50.0,14.0,2026-03-16T17:02:34Z,2026-03-16T18:00:00Z,,,188.02,49.98,,,0.02,4.76,,paper-GEMI-BTC2603161800-HI73500-1773680554,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603161800-HI74000,BTC2603161800,GRR-KAIKO_BTCUSD_1S,open,buy,yes,172,0.29,0.3237171626272371,0.03371716262723712,73728.71,0.24,0.29,58.0,58.0,2026-03-16T17:04:36Z,2026-03-16T18:00:00Z,,,49.88,49.88,,,0.02,3.44,,paper-GEMI-BTC2603161800-HI74000-1773680676,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603161800-HI74250,BTC2603161800,GRR-KAIKO_BTCUSD_1S,open,buy,yes,294,0.17,0.21449006022661649,0.044490060226616474,73800.75,0.08,0.17,57.0,57.0,2026-03-16T17:05:01Z,2026-03-16T18:00:00Z,,,49.98,49.98,,,0.02,5.88,,paper-GEMI-BTC2603161800-HI74250-1773680701,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603161800-HI73250,BTC2603161800,GRR-KAIKO_BTCUSD_1S,open,sell,yes,333,0.85,0.802175604104895,0.04782439589510501,73768.91,0.85,0.96,12.0,12.0,2026-03-16T17:05:08Z,2026-03-16T18:00:00Z,,,283.05,49.95,,,0.02,6.66,,paper-GEMI-BTC2603161800-HI73250-1773680708,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603161800-HI73750,BTC2603161800,GRR-KAIKO_BTCUSD_1S,open,sell,yes,135,0.63,0.5933696707756849,0.036630329224315084,73881.79,0.63,0.67,317.0,45.0,2026-03-16T17:13:55Z,2026-03-16T18:00:00Z,,,85.05,49.95,,,0.02,2.7,,paper-GEMI-BTC2603161800-HI73750-1773681235,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
