instrument,event_ticker,settlement_index,status,side,outcome_field,quantity,entry_price,entry_model_price,edge_at_entry,spot_at_entry,bid_at_entry,ask_at_entry,bid_size_at_entry,ask_size_at_entry,entry_time,expiry_time,settlement_time,settlement_outcome,entry_notional_usd,max_loss_usd,gross_pnl_per_contract,gross_total_pnl,fees_per_contract,fees_total,net_total_pnl,order_id,params_path
GEMI-BTC2603152300-HI72250,BTC2603152300,GRR-KAIKO_BTCUSD_1S,settled,buy,yes,151,0.33,0.3604814736871701,0.03048147368717008,72097.0,0.26,0.33,50.0,50.0,2026-03-15T22:01:33Z,2026-03-15T23:00:00Z,2026-03-15T23:02:17Z,1,49.83,49.83,0.67,101.17,0.02,3.02,98.15,paper-GEMI-BTC2603152300-HI72250-1773612093,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603152300-HI71750,BTC2603152300,GRR-KAIKO_BTCUSD_1S,settled,sell,yes,263,0.81,0.7266750910185152,0.08332490898148481,72097.0,0.81,0.94,50.0,20.0,2026-03-15T22:01:45Z,2026-03-15T23:00:00Z,2026-03-15T23:02:43Z,1,213.03,49.97,-0.19,-49.97,0.02,5.26,-55.23,paper-GEMI-BTC2603152300-HI71750-1773612105,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603152300-HI72000,BTC2603152300,GRR-KAIKO_BTCUSD_1S,settled,sell,yes,131,0.62,0.5738520836731756,0.046147916326824356,72110.91,0.62,0.7,50.0,50.0,2026-03-15T22:02:20Z,2026-03-15T23:00:00Z,2026-03-15T23:03:13Z,1,81.22,49.78,-0.38,-49.78,0.02,2.62,-52.4,paper-GEMI-BTC2603152300-HI72000-1773612140,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603152300-HI72500,BTC2603152300,GRR-KAIKO_BTCUSD_1S,settled,buy,yes,178,0.28,0.3572351723843942,0.07723517238439415,72289.42,0.18,0.28,60.0,110.0,2026-03-15T22:03:47Z,2026-03-15T23:00:00Z,2026-03-15T23:02:30Z,1,49.84,49.84,0.72,128.16,0.02,3.56,124.6,paper-GEMI-BTC2603152300-HI72500-1773612227,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603152300-HI72750,BTC2603152300,GRR-KAIKO_BTCUSD_1S,settled,buy,yes,312,0.16,0.19369133847626777,0.03369133847626776,72289.42,0.05,0.16,58.0,58.0,2026-03-15T22:03:59Z,2026-03-15T23:00:00Z,2026-03-15T23:02:30Z,1,49.92,49.92,0.84,262.08,0.02,6.24,255.84,paper-GEMI-BTC2603152300-HI72750-1773612239,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603152300-HI71500,BTC2603152300,GRR-KAIKO_BTCUSD_1S,settled,sell,yes,454,0.89,0.8339144497274339,0.05608555027256612,72052.96,0.89,0.99,224.0,19999.0,2026-03-15T22:06:54Z,2026-03-15T23:00:00Z,2026-03-15T23:01:17Z,1,404.06,49.94,-0.11,-49.94,0.02,9.08,-59.02,paper-GEMI-BTC2603152300-HI71500-1773612414,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603152300-HI71250,BTC2603152300,GRR-KAIKO_BTCUSD_1S,settled,sell,yes,555,0.91,0.8233014283603742,0.0866985716396258,71733.48,0.91,0.97,42.0,42.0,2026-03-15T22:15:46Z,2026-03-15T23:00:00Z,2026-03-15T23:01:25Z,1,505.05,49.95,-0.09,-49.95,0.02,11.1,-61.05,paper-GEMI-BTC2603152300-HI71250-1773612946,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603160000-HI72500,BTC2603160000,GRR-KAIKO_BTCUSD_1S,settled,sell,yes,217,0.77,0.7226853403666436,0.04731465963335646,72831.65,0.77,0.89,50.0,26.0,2026-03-15T23:01:51Z,2026-03-16T00:00:00Z,2026-03-16T00:02:06Z,1,167.09,49.91,-0.23,-49.91,0.02,4.34,-54.25,paper-GEMI-BTC2603160000-HI72500-1773615711,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603160000-HI72750,BTC2603160000,GRR-KAIKO_BTCUSD_1S,settled,buy,yes,68,0.73,0.7655252392576364,0.0355252392576364,73040.4,0.67,0.73,52.0,52.0,2026-03-15T23:08:34Z,2026-03-16T00:00:00Z,2026-03-16T00:02:19Z,1,49.64,49.64,0.27,18.36,0.02,1.36,17.0,paper-GEMI-BTC2603160000-HI72750-1773616114,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603160000-HI73000,BTC2603160000,GRR-KAIKO_BTCUSD_1S,settled,buy,yes,147,0.34,0.41963288388230713,0.0796328838823071,72896.08,0.19,0.34,53.0,54.0,2026-03-15T23:21:47Z,2026-03-16T00:00:00Z,2026-03-16T00:01:52Z,0,49.98,49.98,-0.34,-49.98,0.02,2.94,-52.92,paper-GEMI-BTC2603160000-HI73000-1773616907,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603160000-HI72250,BTC2603160000,GRR-KAIKO_BTCUSD_1S,settled,sell,yes,263,0.81,0.7745852086685335,0.03541479133146652,72602.67,0.81,0.9,27.0,27.0,2026-03-15T23:25:34Z,2026-03-16T00:00:00Z,2026-03-16T00:02:26Z,1,213.03,49.97,-0.19,-49.97,0.02,5.26,-55.23,paper-GEMI-BTC2603160000-HI72250-1773617134,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
